formation_month,holding_month,decile,n,ew_return,ew_market_return,ew_market_adjusted,vw_return,vw_available,effective_bins
2025-03,2025-04,7,493,-0.016888267280296333,-0.024960050606787233,0.0080717833264909,-0.028623361401463404,True,10
2025-03,2025-04,8,494,-0.008375599028318609,-0.024960050606787233,0.016584451578468624,-0.013249047867147923,True,10
2025-03,2025-04,9,493,-0.016700852068647885,-0.024960050606787233,0.008259198538139348,-0.007676230111486099,True,10
2025-03,2025-04,10,494,-0.017785415671837626,-0.024960050606787233,0.0071746349349496065,-0.02662676922996961,True,10
2025-04,2025-05,1,493,0.0746520632944767,0.05062694326176883,0.024025120032707868,,False,10
2025-04,2025-05,2,493,0.051497461915113986,0.05062694326176883,0.0008705186533451564,0.022746572720957012,True,10
2025-04,2025-05,3,493,0.03690618831594857,0.05062694326176883,-0.013720754945820257,0.016680914641065102,True,10
2025-04,2025-05,4,494,0.04998679299331069,0.05062694326176883,-0.0006401502684581367,0.019488278133692905,True,10
2025-04,2025-05,5,493,0.04501927778629741,0.05062694326176883,-0.005607665475471417,0.025958727757403502,True,10
2025-04,2025-05,6,493,0.049256059961590666,0.05062694326176883,-0.0013708833001781634,0.031631217184113804,True,10
2025-04,2025-05,7,494,0.044428058708163895,0.05062694326176883,-0.0061988845536049345,0.022454685902116446,True,10
2025-04,2025-05,8,493,0.04947199466581731,0.05062694326176883,-0.0011549485959515202,0.03277519593480551,True,10
2025-04,2025-05,9,493,0.04943471900777951,0.05062694326176883,-0.0011922242539893213,0.02344908163924341,True,10
2025-04,2025-05,10,494,0.05562055921233661,0.05062694326176883,0.004993615950567777,0.015679015534466847,True,10
2025-05,2025-06,1,486,0.05272286856235591,0.06280894923152265,-0.01008608066916674,,False,10
2025-05,2025-06,2,487,0.05926917736489273,0.06280894923152265,-0.0035397718666299177,0.03564275046341435,True,10
2025-05,2025-06,3,487,0.052590554784025946,0.06280894923152265,-0.010218394447496705,0.0221642266344202,True,10
2025-05,2025-06,4,487,0.06556803589943658,0.06280894923152265,0.0027590866679139264,0.04113508978366103,True,10
2025-05,2025-06,5,487,0.046385873899784255,0.06280894923152265,-0.016423075331738396,0.017759237009326367,True,10
2025-05,2025-06,6,486,0.06321001690318265,0.06280894923152265,0.00040106767165999646,0.03905586869787945,True,10
2025-05,2025-06,7,487,0.05785608621107702,0.06280894923152265,-0.004952863020445633,0.04667215086219258,True,10
2025-05,2025-06,8,487,0.07354787782148664,0.06280894923152265,0.01073892858996399,0.05663817904413344,True,10
2025-05,2025-06,9,487,0.07884513321326765,0.06280894923152265,0.016036183981745,0.08444564631444208,True,10
2025-05,2025-06,10,486,0.07810539009486671,0.06280894923152265,0.015296440863344057,0.07210915934328298,True,10
2025-06,2025-07,1,488,0.028906759398540486,0.05734128772918494,-0.028434528330644453,0.0270697955768829,True,10
2025-06,2025-07,2,489,0.033826465156420786,0.05734128772918494,-0.023514822572764153,0.03393604188575585,True,10
2025-06,2025-07,3,490,0.05318601383415257,0.05734128772918494,-0.004155273895032369,0.02852278782637682,True,10
2025-06,2025-07,4,489,0.052285109167422024,0.05734128772918494,-0.005056178561762915,0.04105746837910989,True,10
2025-06,2025-07,5,490,0.06524772163705303,0.05734128772918494,0.00790643390786809,,False,10
2025-06,2025-07,6,489,0.07017715764056846,0.05734128772918494,0.012835869911383524,0.04259930557888418,True,10
2025-06,2025-07,7,489,0.06047460385371424,0.05734128772918494,0.0031333161245293006,0.03489718447550496,True,10
2025-06,2025-07,8,490,0.0577763577713242,0.05734128772918494,0.00043507004213926004,0.060868149266205054,True,10
2025-06,2025-07,9,489,0.08096335066328252,0.05734128772918494,0.023622062934097576,0.05794767775444853,True,10
2025-06,2025-07,10,490,0.07047576917176734,0.05734128772918494,0.013134481442582405,0.10493125962231706,True,10
2025-07,2025-08,1,490,0.08594785858424102,0.08649350355833489,-0.0005456449740938729,0.10575993855482617,True,10
2025-07,2025-08,2,489,0.11680375479740025,0.08649350355833489,0.03031025123906536,0.1893546757210306,True,10
2025-07,2025-08,3,490,0.10200334056729271,0.08649350355833489,0.01550983700895782,0.13300187520058349,True,10
2025-07,2025-08,4,490,0.10039645033517908,0.08649350355833489,0.013902946776844186,0.12292945918238149,True,10
2025-07,2025-08,5,490,0.0879245650792249,0.08649350355833489,0.001431061520890009,0.11233489549794073,True,10
