month,decile,stocks,overlap_with_prior_month,one_way_turnover
2015-04,4,232,25,0.8922413793103449
2015-05,4,228,31,0.8640350877192983
2015-06,4,226,26,0.8849557522123894
2015-07,4,219,25,0.8858447488584476
2015-08,4,216,22,0.8981481481481481
2015-09,4,216,18,0.9166666666666666
2015-10,4,222,30,0.8648648648648649
2015-11,4,230,27,0.8826086956521739
2015-12,4,238,37,0.8445378151260504
2016-01,4,240,27,0.8875
2016-02,4,241,33,0.8630705394190872
2016-03,4,246,31,0.8739837398373984
2016-04,4,247,33,0.8663967611336032
2016-05,4,248,28,0.8870967741935484
2016-06,4,252,39,0.8452380952380952
2016-07,4,256,33,0.87109375
2016-08,4,256,31,0.87890625
2016-09,4,258,38,0.8527131782945736
2016-10,4,258,28,0.8914728682170543
2016-11,4,260,33,0.8730769230769231
2016-12,4,262,28,0.8931297709923665
2017-01,4,262,36,0.8625954198473282
2017-02,4,261,31,0.8812260536398467
2017-03,4,264,38,0.8560606060606061
2017-04,4,265,27,0.8981132075471698
2017-05,4,263,27,0.8973384030418251
2017-06,4,263,18,0.9315589353612167
2017-07,4,265,26,0.9018867924528302
2017-08,4,267,33,0.8764044943820225
2017-09,4,273,35,0.8717948717948718
2017-10,4,276,26,0.9057971014492754
2017-11,4,281,29,0.896797153024911
2017-12,4,284,37,0.869718309859155
2018-01,4,288,36,0.875
2018-02,4,289,34,0.8823529411764706
2018-03,4,292,30,0.8972602739726028
2018-04,4,296,34,0.8851351351351351
2018-05,4,303,37,0.8778877887788779
2018-06,4,307,30,0.9022801302931596
2018-07,4,311,24,0.9228295819935691
2018-08,4,318,32,0.89937106918239
2018-09,4,324,36,0.8888888888888888
2018-10,4,329,33,0.8996960486322189
2018-11,4,335,37,0.8895522388059701
2018-12,4,338,40,0.8816568047337279
2019-01,4,339,37,0.8908554572271387
2019-02,4,340,27,0.9205882352941177
2019-03,4,341,45,0.8680351906158358
2019-04,4,343,39,0.8862973760932945
2019-05,4,338,40,0.8816568047337279
2019-06,4,339,30,0.911504424778761
2019-07,4,339,34,0.8997050147492626
2019-08,4,340,34,0.9
2019-09,4,340,40,0.8823529411764706
2019-10,4,341,36,0.8944281524926686
2019-11,4,342,38,0.8888888888888888
2019-12,4,342,44,0.8713450292397661
2020-01,4,343,30,0.9125364431486881
2020-02,4,343,34,0.9008746355685131
2020-03,4,345,31,0.9101449275362319
2020-04,4,346,50,0.8554913294797688
2020-05,4,341,44,0.8709677419354839
2020-06,4,342,31,0.9093567251461988
2020-07,4,345,33,0.9043478260869565
2020-08,4,345,32,0.9072463768115941
2020-09,4,346,40,0.8843930635838151
2020-10,4,347,38,0.8904899135446686
2020-11,4,350,48,0.8628571428571429
2020-12,4,353,46,0.8696883852691218
2021-01,4,355,34,0.9042253521126761
2021-02,4,356,47,0.8679775280898876
2021-03,4,358,34,0.9050279329608939
2021-04,4,363,30,0.9173553719008265
2021-05,4,362,44,0.8784530386740331
2021-06,4,367,45,0.8773841961852861
2021-07,4,371,44,0.8814016172506739
2021-08,4,378,38,0.8994708994708995
2021-09,4,384,40,0.8958333333333334
2021-10,4,386,49,0.8730569948186528
2021-11,4,389,38,0.9023136246786633
2021-12,4,394,44,0.8883248730964467
2022-01,4,397,36,0.9093198992443325
2022-02,4,400,38,0.905
2022-03,4,404,45,0.8886138613861386
2022-04,4,411,38,0.9075425790754258
2022-05,4,414,47,0.8864734299516908
2022-06,4,421,45,0.8931116389548693
2022-07,4,423,40,0.9054373522458629
2022-08,4,427,54,0.8735362997658079
2022-09,4,432,60,0.8611111111111112
2022-10,4,435,51,0.8827586206896552
2022-11,4,438,45,0.8972602739726028
2022-12,4,443,57,0.871331828442438
2023-01,4,445,53,0.8808988764044944
2023-02,4,447,54,0.8791946308724832
2023-03,4,450,73,0.8377777777777777
2023-04,4,455,59,0.8703296703296703
2023-05,4,452,35,0.922566371681416
2023-06,4,457,58,0.8730853391684902
2023-07,4,459,48,0.8954248366013072
2023-08,4,462,65,0.8593073593073592
2023-09,4,466,53,0.8862660944206009
2023-10,4,469,50,0.8933901918976546
2023-11,4,471,55,0.8832271762208068
2023-12,4,474,64,0.8649789029535865
2024-01,4,475,60,0.8736842105263158
2024-02,4,476,52,0.8907563025210083
2024-03,4,479,64,0.8663883089770354
2024-04,4,482,37,0.9232365145228216
2024-05,4,478,55,0.8849372384937239
2024-06,4,483,51,0.8944099378881988
2024-07,4,486,56,0.8847736625514403
2024-08,4,488,56,0.8852459016393442
2024-09,4,490,54,0.889795918367347
2024-10,4,490,53,0.8918367346938776
2024-11,4,490,65,0.8673469387755102
2024-12,4,492,61,0.8760162601626016
2025-01,4,493,73,0.8519269776876268
2025-02,4,493,56,0.8864097363083164
2025-03,4,494,41,0.917004048582996
2025-04,4,494,53,0.8927125506072875
2025-05,4,487,41,0.9158110882956879
2025-06,4,489,51,0.8957055214723927
2025-07,4,490,66,0.8653061224489795
2025-08,4,490,55,0.8877551020408163
2025-09,4,491,59,0.879837067209776
2025-10,4,490,62,0.8734693877551021
2025-11,4,491,63,0.8716904276985743
2025-12,4,493,63,0.8722109533468559
2026-01,4,493,59,0.8803245436105477
2026-02,4,493,51,0.896551724137931
2026-03,4,494,74,0.8502024291497976
2026-04,4,495,51,0.896969696969697
2026-05,4,488,47,0.9036885245901639
2026-06,4,492,63,0.8719512195121951
2026-07,4,492,61,0.8760162601626016
2010-02,5,144,17,0.8819444444444444
2010-03,5,144,16,0.8888888888888888
2010-04,5,144,11,0.9236111111111112
2010-05,5,141,17,0.8794326241134752
2010-06,5,142,19,0.8661971830985915
2010-07,5,142,12,0.9154929577464789
2010-08,5,143,17,0.8811188811188811
2010-09,5,145,19,0.8689655172413793
2010-10,5,144,16,0.8888888888888888
2010-11,5,149,12,0.9194630872483222
2010-12,5,151,21,0.8609271523178808
2011-01,5,155,18,0.8838709677419355
2011-02,5,157,16,0.8980891719745223
2011-03,5,159,13,0.9182389937106918
2011-04,5,164,21,0.8719512195121951
2011-05,5,165,17,0.896969696969697
2011-06,5,168,10,0.9404761904761905
2011-07,5,172,22,0.872093023255814
2011-08,5,175,20,0.8857142857142857
2011-09,5,178,24,0.8651685393258427
2011-10,5,180,20,0.8888888888888888
2011-11,5,183,15,0.9180327868852459
2011-12,5,187,19,0.8983957219251337
2012-01,5,190,22,0.8842105263157894
2012-02,5,193,18,0.9067357512953368
2012-03,5,196,23,0.8826530612244898
2012-04,5,198,27,0.8636363636363636
2012-05,5,201,17,0.9154228855721394
2012-06,5,204,28,0.8627450980392157
2012-07,5,207,20,0.9033816425120773
2012-08,5,212,28,0.8679245283018868
2012-09,5,215,25,0.8837209302325582
2012-10,5,215,23,0.8930232558139535
2012-11,5,219,18,0.9178082191780822
2012-12,5,220,12,0.9454545454545454
2013-01,5,221,26,0.8823529411764706
2013-02,5,222,25,0.8873873873873874
2013-03,5,225,28,0.8755555555555555
2013-04,5,228,26,0.8859649122807017
2013-05,5,231,24,0.8961038961038961
2013-06,5,231,23,0.9004329004329005
2013-07,5,234,37,0.8418803418803419
2013-08,5,235,20,0.9148936170212766
2013-09,5,235,33,0.8595744680851064
2013-10,5,236,25,0.8940677966101696
2013-11,5,235,32,0.8638297872340426
2013-12,5,236,22,0.9067796610169492
2014-01,5,236,22,0.9067796610169492
2014-02,5,234,20,0.9145299145299145
2014-03,5,235,27,0.8851063829787233
2014-04,5,233,31,0.8669527896995708
2014-05,5,230,22,0.9043478260869565
2014-06,5,230,23,0.9
2014-07,5,231,20,0.9134199134199135
2014-08,5,231,26,0.8874458874458875
2014-09,5,232,22,0.9051724137931034
2014-10,5,228,32,0.8596491228070176
2014-11,5,227,24,0.8942731277533039
2014-12,5,230,26,0.8869565217391304
2015-01,5,232,26,0.8879310344827587
2015-02,5,230,20,0.9130434782608696
2015-03,5,232,36,0.8448275862068966
2015-04,5,232,25,0.8922413793103449
2015-05,5,228,28,0.8771929824561404
2015-06,5,226,22,0.9026548672566371
2015-07,5,219,19,0.91324200913242
2015-08,5,215,28,0.8697674418604651
2015-09,5,217,25,0.8847926267281105
2015-10,5,223,22,0.9013452914798207
2015-11,5,230,24,0.8956521739130435
2015-12,5,238,25,0.8949579831932774
2016-01,5,241,21,0.9128630705394191
2016-02,5,242,33,0.8636363636363636
2016-03,5,245,29,0.8816326530612245
2016-04,5,247,31,0.8744939271255061
2016-05,5,248,22,0.9112903225806451
2016-06,5,253,29,0.8853754940711462
2016-07,5,255,34,0.8666666666666667
2016-08,5,257,25,0.9027237354085603
2016-09,5,258,32,0.875968992248062
2016-10,5,258,20,0.9224806201550387
2016-11,5,261,28,0.89272030651341
2016-12,5,263,25,0.9049429657794676
2017-01,5,262,28,0.8931297709923665
2017-02,5,262,30,0.8854961832061069
2017-03,5,264,40,0.8484848484848485
2017-04,5,266,30,0.887218045112782
2017-05,5,262,34,0.8702290076335878
2017-06,5,263,25,0.9049429657794676
2017-07,5,265,28,0.8943396226415095
2017-08,5,268,33,0.8768656716417911
2017-09,5,274,27,0.9014598540145985
2017-10,5,276,33,0.8804347826086957
2017-11,5,281,39,0.8612099644128114
2017-12,5,283,41,0.8551236749116607
2018-01,5,289,28,0.903114186851211
2018-02,5,289,37,0.8719723183391004
2018-03,5,291,36,0.8762886597938144
2018-04,5,296,38,0.8716216216216216
2018-05,5,302,27,0.9105960264900662
2018-06,5,307,54,0.8241042345276873
2018-07,5,311,34,0.8906752411575563
2018-08,5,318,42,0.8679245283018868
2018-09,5,324,32,0.9012345679012346
2018-10,5,329,34,0.8966565349544073
2018-11,5,335,40,0.8805970149253731
2018-12,5,337,35,0.8961424332344213
2019-01,5,339,32,0.9056047197640118
2019-02,5,341,33,0.9032258064516129
2019-03,5,341,33,0.9032258064516129
2019-04,5,343,35,0.8979591836734694
2019-05,5,338,42,0.8757396449704142
2019-06,5,338,35,0.8964497041420119
2019-07,5,339,30,0.911504424778761
2019-08,5,339,37,0.8908554572271387
2019-09,5,341,32,0.906158357771261
2019-10,5,341,45,0.8680351906158358
2019-11,5,341,33,0.9032258064516129
2019-12,5,342,44,0.8713450292397661
2020-01,5,343,42,0.8775510204081632
2020-02,5,344,39,0.8866279069767442
2020-03,5,345,42,0.8782608695652174
2020-04,5,346,44,0.8728323699421965
2020-05,5,340,41,0.8794117647058823
2020-06,5,342,50,0.8538011695906433
2020-07,5,344,39,0.8866279069767442
2020-08,5,346,28,0.9190751445086706
2020-09,5,346,44,0.8728323699421965
2020-10,5,347,55,0.8414985590778098
2020-11,5,351,36,0.8974358974358975
2020-12,5,353,38,0.8923512747875354
2021-01,5,355,41,0.8845070422535212
2021-02,5,357,48,0.865546218487395
2021-03,5,359,35,0.9025069637883009
2021-04,5,364,40,0.8901098901098901
2021-05,5,363,47,0.8705234159779615
2021-06,5,367,38,0.896457765667575
2021-07,5,372,48,0.8709677419354839
2021-08,5,377,50,0.8673740053050398
2021-09,5,384,48,0.875
2021-10,5,386,53,0.8626943005181347
