model,formation_month,decile,stocks,overlap,one_way_turnover
ridge,2022-10,1,434,202,0.5345622119815668
ridge,2022-11,1,438,185,0.5776255707762556
ridge,2022-12,1,442,199,0.5497737556561086
ridge,2023-01,1,445,203,0.5438202247191011
ridge,2023-02,1,446,174,0.6098654708520179
ridge,2023-03,1,450,190,0.5777777777777777
ridge,2023-04,1,454,254,0.44052863436123346
ridge,2023-05,1,451,249,0.44789356984478934
ridge,2023-06,1,455,261,0.4263736263736264
ridge,2023-07,1,457,202,0.5579868708971554
ridge,2023-08,1,461,223,0.5162689804772234
ridge,2023-09,1,465,206,0.556989247311828
ridge,2023-10,1,468,223,0.5235042735042735
ridge,2023-11,1,471,230,0.5116772823779193
ridge,2023-12,1,474,206,0.5654008438818565
ridge,2024-01,1,474,230,0.5147679324894514
ridge,2024-02,1,476,217,0.5441176470588236
ridge,2024-03,1,478,246,0.4853556485355649
ridge,2024-04,1,481,199,0.5862785862785862
ridge,2024-05,1,477,194,0.5932914046121593
ridge,2024-06,1,481,197,0.5904365904365905
ridge,2024-07,1,485,221,0.5443298969072166
ridge,2024-08,1,487,204,0.5811088295687885
ridge,2024-09,1,489,213,0.5644171779141105
ridge,2024-10,1,489,241,0.5071574642126789
ridge,2024-11,1,490,200,0.5918367346938775
ridge,2024-12,1,491,205,0.5824847250509164
ridge,2025-01,1,492,267,0.45731707317073167
ridge,2025-02,1,492,238,0.516260162601626
ridge,2025-03,1,493,198,0.5983772819472617
ridge,2025-04,1,493,200,0.5943204868154158
ridge,2025-05,1,486,216,0.5555555555555556
ridge,2025-06,1,488,208,0.5737704918032787
ridge,2025-07,1,489,229,0.5316973415132924
ridge,2025-08,1,489,227,0.5357873210633947
ridge,2025-09,1,490,210,0.5714285714285714
ridge,2025-10,1,490,219,0.5530612244897959
ridge,2025-11,1,490,233,0.5244897959183674
ridge,2025-12,1,492,231,0.5304878048780488
ridge,2026-01,1,492,240,0.5121951219512195
ridge,2026-02,1,492,269,0.4532520325203252
ridge,2026-03,1,493,224,0.5456389452332657
ridge,2026-04,1,495,253,0.48888888888888893
ridge,2026-05,1,487,236,0.515400410677618
ridge,2026-06,1,491,243,0.505091649694501
ridge,2013-02,10,222,61,0.7252252252252251
ridge,2013-03,10,225,80,0.6444444444444444
ridge,2013-04,10,227,90,0.6035242290748899
ridge,2013-05,10,231,91,0.6060606060606061
ridge,2013-06,10,231,100,0.5670995670995671
ridge,2013-07,10,233,110,0.5278969957081545
ridge,2013-08,10,235,90,0.6170212765957447
ridge,2013-09,10,235,102,0.5659574468085107
ridge,2013-10,10,236,84,0.6440677966101696
ridge,2013-11,10,235,76,0.676595744680851
ridge,2013-12,10,236,91,0.6144067796610169
ridge,2014-01,10,235,89,0.6212765957446809
ridge,2014-02,10,233,104,0.5536480686695279
ridge,2014-03,10,235,93,0.6042553191489362
ridge,2014-04,10,233,98,0.5793991416309012
ridge,2014-05,10,229,96,0.5807860262008734
