model,formation_month,holding_month,ic,n
ridge,2020-07,2020-08,0.22827801874825845,3439
ridge,2020-08,2020-09,0.048668003676209125,3447
ridge,2020-09,2020-10,-0.09382464031924098,3455
ridge,2020-10,2020-11,0.18988630179149213,3464
ridge,2020-11,2020-12,-0.1600242306891515,3499
ridge,2020-12,2021-01,-0.06155418671843508,3527
ridge,2021-01,2021-02,0.24058267930282043,3545
ridge,2021-02,2021-03,0.25078552202379817,3563
ridge,2021-03,2021-04,0.12574713920899275,3583
ridge,2021-04,2021-05,-0.08881816272246063,3628
ridge,2021-05,2021-06,0.10243254793622321,3618
ridge,2021-06,2021-07,-0.05693703478490737,3661
ridge,2021-07,2021-08,0.10607688813647524,3706
ridge,2021-08,2021-09,0.19817285922503133,3772
ridge,2021-09,2021-10,0.019532785642804577,3834
ridge,2021-10,2021-11,0.24573493303718372,3854
ridge,2021-11,2021-12,0.3237553057320661,3882
ridge,2021-12,2022-01,0.28842804034520925,3936
ridge,2022-01,2022-02,0.04069269057931215,3966
ridge,2022-02,2022-03,0.07095494132770117,3995
ridge,2022-03,2022-04,0.009947000173023293,4038
ridge,2022-04,2022-05,0.22410935407751464,4098
ridge,2022-05,2022-06,0.08467345707799462,4125
ridge,2022-06,2022-07,0.20989609077319069,4172
ridge,2022-07,2022-08,0.24480592388865863,4219
ridge,2022-08,2022-09,0.09106562461076048,4268
ridge,2022-09,2022-10,0.26409365791042333,4308
ridge,2022-10,2022-11,0.14465797141921188,4342
ridge,2022-11,2022-12,0.018946599184486157,4380
ridge,2022-12,2023-01,0.2856279861694697,4422
ridge,2023-01,2023-02,0.27890957676674677,4456
ridge,2023-02,2023-03,-0.04356857726904635,4468
ridge,2023-03,2023-04,-0.00014934080688267946,4505
ridge,2023-04,2023-05,0.2151723008893445,4540
ridge,2023-05,2023-06,0.10384875082337898,4511
ridge,2023-06,2023-07,0.2850597758601564,4559
ridge,2023-07,2023-08,0.18832378036575895,4573
ridge,2023-08,2023-09,0.19632380925901272,4618
ridge,2023-09,2023-10,0.07833236707257324,4658
ridge,2023-10,2023-11,0.2522682247461618,4687
ridge,2023-11,2023-12,0.12881262639237265,4714
ridge,2023-12,2024-01,-0.08394634254696783,4741
ridge,2024-01,2024-02,-0.2932955966821389,4747
ridge,2024-02,2024-03,0.2536579159096606,4762
ridge,2024-03,2024-04,0.13222440162626933,4785
ridge,2024-04,2024-05,-0.007123631090733708,4812
ridge,2024-05,2024-06,-0.17870771490065118,4773
ridge,2024-06,2024-07,0.12671181253833824,4817
ridge,2024-07,2024-08,0.21392400252936147,4856
ridge,2024-08,2024-09,-0.0005846574484579628,4877
ridge,2024-09,2024-10,-0.020391375687303617,4890
ridge,2024-10,2024-11,0.37772202924362114,4898
ridge,2024-11,2024-12,0.045637106247775575,4905
ridge,2024-12,2025-01,0.14796084023986777,4918
ridge,2025-01,2025-02,0.06869357957584364,4923
ridge,2025-02,2025-03,0.28597655484596113,4927
ridge,2025-03,2025-04,0.2095211776697484,4933
ridge,2025-04,2025-05,0.2282765515881832,4932
ridge,2025-05,2025-06,0.20751670643210196,4866
ridge,2025-06,2025-07,0.19826674516160447,4888
ridge,2025-07,2025-08,-0.09166524605456657,4891
ridge,2025-08,2025-09,0.0911531288940979,4897
ridge,2025-09,2025-10,0.29371863426992884,4903
ridge,2025-10,2025-11,0.22093037123337025,4904
ridge,2025-11,2025-12,-0.05387242714417276,4909
ridge,2025-12,2026-01,0.16755118443692305,4921
ridge,2026-01,2026-02,0.03388733343536502,4925
ridge,2026-02,2026-03,0.1816264864983555,4924
ridge,2026-03,2026-04,0.030875866504931185,4937
ridge,2026-04,2026-05,-0.15935238968992765,4950
ridge,2026-05,2026-06,-0.23002555587575707,4874
ridge,2026-06,2026-07,0.34317094021912214,4915
ridge_cto_family,2013-01,2013-02,-0.007940529234235561,2197
ridge_cto_family,2013-02,2013-03,-0.024523719784904974,2214
ridge_cto_family,2013-03,2013-04,0.0675542626947809,2242
ridge_cto_family,2013-04,2013-05,-0.0011485243471579423,2263
ridge_cto_family,2013-05,2013-06,-0.16583385669819758,2302
ridge_cto_family,2013-06,2013-07,-0.08182170646568361,2304
ridge_cto_family,2013-07,2013-08,0.2742711269610516,2330
ridge_cto_family,2013-08,2013-09,0.11102606192948908,2342
ridge_cto_family,2013-09,2013-10,0.2079408131600962,2345
ridge_cto_family,2013-10,2013-11,0.15232154088768413,2354
ridge_cto_family,2013-11,2013-12,0.11432525057505971,2344
ridge_cto_family,2013-12,2014-01,-0.19190601405735566,2353
ridge_cto_family,2014-01,2014-02,0.07567187989387356,2350
